"Benchmark","Mode","Threads","Samples","Mean","Mean Error (99.9%)","Unit","Param: compression","Param: factor"
"com.tdunning.MergeBench.add","avgt",1,5,204.04337989094893,4.395232081604674,"ns/op","100","10"
"com.tdunning.MergeBench.add","avgt",1,5,172.17886129834042,17.568926276624033,"ns/op","100","20"
"com.tdunning.MergeBench.add","avgt",1,5,897.482669123192,35.80248559068669,"ns/op","100","1"
"com.tdunning.MergeBench.add","avgt",1,5,508.6924688551874,29.295631520828856,"ns/op","100","2"
"com.tdunning.MergeBench.add","avgt",1,5,274.6167687401217,18.080515400319726,"ns/op","100","5"
"com.tdunning.MergeBench.add","avgt",1,5,149.30374118921648,2.5077738620101497,"ns/op","100","100"
"com.tdunning.MergeBench.add","avgt",1,5,254.03185219981304,178.82429397322716,"ns/op","200","10"
"com.tdunning.MergeBench.add","avgt",1,5,184.612709784626,26.954039118140663,"ns/op","200","20"
"com.tdunning.MergeBench.add","avgt",1,5,977.0315410724234,46.776045865418546,"ns/op","200","1"
"com.tdunning.MergeBench.add","avgt",1,5,566.6282150641767,19.231301644186633,"ns/op","200","2"
"com.tdunning.MergeBench.add","avgt",1,5,315.86282749424873,9.569801206670066,"ns/op","200","5"
"com.tdunning.MergeBench.add","avgt",1,5,158.6934068961276,5.39078719467639,"ns/op","200","100"
"com.tdunning.MergeBench.add","avgt",1,5,253.44149128686522,6.97266280022356,"ns/op","500","10"
"com.tdunning.MergeBench.add","avgt",1,5,202.3526499540931,5.481372787918413,"ns/op","500","20"
"com.tdunning.MergeBench.add","avgt",1,5,1278.3475715688162,24.78165651172183,"ns/op","500","1"
"com.tdunning.MergeBench.add","avgt",1,5,704.1348921363194,22.433908954825508,"ns/op","500","2"
"com.tdunning.MergeBench.add","avgt",1,5,365.9598836367635,8.3889015521906,"ns/op","500","5"
"com.tdunning.MergeBench.add","avgt",1,5,174.8061821900023,11.90267590999425,"ns/op","500","100"
"com.tdunning.MergeBench.add","avgt",1,5,328.51840387553904,20.779246470640835,"ns/op","1000","10"
"com.tdunning.MergeBench.add","avgt",1,5,242.6092309864393,10.137292976741229,"ns/op","1000","20"
"com.tdunning.MergeBench.add","avgt",1,5,2001.4413086968693,71.29386444618484,"ns/op","1000","1"
"com.tdunning.MergeBench.add","avgt",1,5,1043.8154103301008,33.55013082622606,"ns/op","1000","2"
"com.tdunning.MergeBench.add","avgt",1,5,503.71056300750934,14.04980682827836,"ns/op","1000","5"
"com.tdunning.MergeBench.add","avgt",1,5,182.02931984183942,6.851892126609843,"ns/op","1000","100"
