Benchmark	compression	pageSize	Mode	Samples	Mean	Mean.error	Units
c.t.ArrayBench.add	20	8	avgt	8	278.184	23.429	ns/op
c.t.ArrayBench.add	20	16	avgt	8	239.259	18.509	ns/op
c.t.ArrayBench.add	20	24	avgt	8	224.525	15.601	ns/op
c.t.ArrayBench.add	20	32	avgt	8	221.559	10.695	ns/op
c.t.ArrayBench.add	20	48	avgt	8	287.923	62.136	ns/op
c.t.ArrayBench.add	20	64	avgt	8	219.910	7.517	ns/op
c.t.ArrayBench.add	50	8	avgt	8	457.384	50.614	ns/op
c.t.ArrayBench.add	50	16	avgt	8	316.811	51.131	ns/op
c.t.ArrayBench.add	50	24	avgt	8	289.815	17.542	ns/op
c.t.ArrayBench.add	50	32	avgt	8	263.838	9.917	ns/op
c.t.ArrayBench.add	50	48	avgt	8	242.204	8.021	ns/op
c.t.ArrayBench.add	50	64	avgt	8	260.028	17.399	ns/op
c.t.ArrayBench.add	100	8	avgt	8	602.936	46.749	ns/op
c.t.ArrayBench.add	100	16	avgt	8	450.709	41.485	ns/op
c.t.ArrayBench.add	100	24	avgt	8	387.325	59.989	ns/op
c.t.ArrayBench.add	100	32	avgt	8	382.783	139.749	ns/op
c.t.ArrayBench.add	100	48	avgt	8	310.657	41.985	ns/op
c.t.ArrayBench.add	100	64	avgt	8	345.579	126.986	ns/op
c.t.ArrayBench.add	200	8	avgt	8	1198.173	117.468	ns/op
c.t.ArrayBench.add	200	16	avgt	8	742.118	186.826	ns/op
c.t.ArrayBench.add	200	24	avgt	8	653.944	139.086	ns/op
c.t.ArrayBench.add	200	32	avgt	8	461.254	36.763	ns/op
c.t.ArrayBench.add	200	48	avgt	8	398.692	85.954	ns/op
c.t.ArrayBench.add	200	64	avgt	8	389.862	37.450	ns/op
c.t.ArrayBench.add	500	8	avgt	8	2537.372	131.780	ns/op
c.t.ArrayBench.add	500	16	avgt	8	1498.993	227.474	ns/op
c.t.ArrayBench.add	500	24	avgt	8	987.178	68.218	ns/op
c.t.ArrayBench.add	500	32	avgt	8	744.646	65.351	ns/op
c.t.ArrayBench.add	500	48	avgt	8	596.789	94.197	ns/op
c.t.ArrayBench.add	500	64	avgt	8	504.243	77.307	ns/op
