"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: compression","Param: method"
"com.tdunning.Benchmark.add","avgt",1,5,121.656207,5.350126,"ns/op",20,merge
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.000164,0.000000,"MB/sec",20,merge
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.000026,0.000001,"B/op",20,merge
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",20,merge
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",20,merge
"com.tdunning.Benchmark.add","avgt",1,5,191.108679,9.575000,"ns/op",20,tree
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.001059,0.007707,"MB/sec",20,tree
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.000270,0.001974,"B/op",20,tree
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",20,tree
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",20,tree
"com.tdunning.Benchmark.add","avgt",1,5,119.369360,8.616791,"ns/op",20,array
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.000172,0.000026,"MB/sec",20,array
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.000027,0.000004,"B/op",20,array
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",20,array
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",20,array
"com.tdunning.Benchmark.add","avgt",1,5,121.279743,7.397975,"ns/op",50,merge
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.000167,0.000022,"MB/sec",50,merge
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.000027,0.000003,"B/op",50,merge
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",50,merge
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",50,merge
"com.tdunning.Benchmark.add","avgt",1,5,242.158369,8.426142,"ns/op",50,tree
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.000164,0.000001,"MB/sec",50,tree
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.000052,0.000002,"B/op",50,tree
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",50,tree
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",50,tree
"com.tdunning.Benchmark.add","avgt",1,5,120.446792,6.794993,"ns/op",50,array
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.000169,0.000026,"MB/sec",50,array
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.000027,0.000005,"B/op",50,array
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",50,array
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",50,array
"com.tdunning.Benchmark.add","avgt",1,5,121.955153,14.467476,"ns/op",100,merge
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.000164,0.000001,"MB/sec",100,merge
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.000026,0.000003,"B/op",100,merge
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",100,merge
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",100,merge
"com.tdunning.Benchmark.add","avgt",1,5,270.943848,15.019568,"ns/op",100,tree
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.004827,0.040151,"MB/sec",100,tree
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.001747,0.014544,"B/op",100,tree
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",100,tree
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",100,tree
"com.tdunning.Benchmark.add","avgt",1,5,119.051152,3.729761,"ns/op",100,array
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.000164,0.000000,"MB/sec",100,array
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.000026,0.000001,"B/op",100,array
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",100,array
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",100,array
"com.tdunning.Benchmark.add","avgt",1,5,120.296073,7.851569,"ns/op",200,merge
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.000169,0.000026,"MB/sec",200,merge
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.000027,0.000004,"B/op",200,merge
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",200,merge
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",200,merge
"com.tdunning.Benchmark.add","avgt",1,5,298.626805,44.684916,"ns/op",200,tree
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.000164,0.000001,"MB/sec",200,tree
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.000064,0.000010,"B/op",200,tree
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",200,tree
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",200,tree
"com.tdunning.Benchmark.add","avgt",1,5,121.056059,10.882249,"ns/op",200,array
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.000169,0.000026,"MB/sec",200,array
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.000027,0.000006,"B/op",200,array
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",200,array
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",200,array
"com.tdunning.Benchmark.add","avgt",1,5,119.749330,6.651773,"ns/op",500,merge
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.000164,0.000001,"MB/sec",500,merge
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.000026,0.000001,"B/op",500,merge
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",500,merge
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",500,merge
"com.tdunning.Benchmark.add","avgt",1,5,367.636901,114.609503,"ns/op",500,tree
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.000164,0.000000,"MB/sec",500,tree
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.000079,0.000025,"B/op",500,tree
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",500,tree
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",500,tree
"com.tdunning.Benchmark.add","avgt",1,5,119.777512,3.957745,"ns/op",500,array
"com.tdunning.Benchmark.add:·gc.alloc.rate","avgt",1,5,0.000164,0.000000,"MB/sec",500,array
"com.tdunning.Benchmark.add:·gc.alloc.rate.norm","avgt",1,5,0.000026,0.000001,"B/op",500,array
"com.tdunning.Benchmark.add:·gc.count","avgt",1,5,0.000000,NaN,"counts",500,array
"com.tdunning.Benchmark.add:·stack","avgt",1,1,NaN,NaN,"---",500,array
